City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Samarai,PG,2021-07-24 18:39:11,-10.6167,150.6667,79.11,86,82,9.82,broken clouds
237,Shaunavon,CA,2021-07-24 18:39:13,49.6501,-108.4181,79.75,20,0,5.75,clear sky
238,Nome,US,2021-07-24 18:39:14,64.5011,-165.4064,47.16,93,90,5.75,overcast clouds
239,Sioux Lookout,CA,2021-07-24 18:39:15,50.1001,-91.917,80.98,50,90,14.97,smoke
240,Caravelas,BR,2021-07-24 18:39:17,-17.7125,-39.2481,74.53,59,54,9.91,broken clouds
241,Sharqpur,PK,2021-07-24 18:39:18,31.4633,74.1,87.93,45,13,6.06,few clouds
242,Soledad,CO,2021-07-24 18:39:20,10.9184,-74.7646,89.73,62,40,2.3,scattered clouds
243,Cabedelo,BR,2021-07-24 18:39:21,-6.9811,-34.8339,81.27,70,4,17.38,clear sky
244,Port Blair,IN,2021-07-24 18:39:23,11.6667,92.75,82.22,85,100,19.44,overcast clouds
245,Kavieng,PG,2021-07-24 18:39:25,-2.5744,150.7967,81.32,78,24,10.25,light rain
246,Isabela,PH,2021-07-24 18:39:26,6.7085,121.9711,80.65,88,100,4.92,overcast clouds
247,Svetlogorsk,BY,2021-07-24 18:39:27,52.6333,29.7333,68.05,68,100,1.3,overcast clouds
248,Ossora,RU,2021-07-24 18:39:28,59.2353,163.0719,56.88,89,100,4.59,overcast clouds
249,Sitka,US,2021-07-24 18:39:29,57.0531,-135.33,57.09,88,90,8.05,mist
250,Parabel,RU,2021-07-24 18:39:30,58.6978,81.4825,63.32,71,4,4.23,clear sky
251,Codrington,AU,2021-07-24 18:39:31,-38.2667,141.9667,43.66,72,77,21.83,broken clouds
252,Lompoc,US,2021-07-24 18:39:32,34.6391,-120.4579,85.01,73,40,6.91,scattered clouds
253,Esterhazy,CA,2021-07-24 18:39:33,50.65,-102.0843,77.85,23,0,21.36,clear sky
254,Savannah Bight,HN,2021-07-24 18:39:34,16.45,-85.85,87.85,73,85,1.86,overcast clouds
255,Sinnamary,GF,2021-07-24 18:39:35,5.3833,-52.95,81.7,81,100,11.14,heavy intensity rain
256,Arvika,SE,2021-07-24 18:39:36,59.6553,12.5852,68.5,51,21,3.85,few clouds
257,Linhai,CN,2021-07-24 18:39:37,28.85,121.1167,76.93,88,100,19.64,moderate rain
258,Marsh Harbour,BS,2021-07-24 18:39:38,26.5412,-77.0636,78.57,76,100,13.47,overcast clouds
